scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,workload,workload,Algorand,FIFA,tps_positive_commit,iqr_pct,mean,10,10,136,11,17,87.38492135651794,68.03939068547614,103.50209544301269
six_workloads,workload,workload,Algorand,FIFA,tps_positive_commit,iqr_pct,median,10,10,136,11,17,81.10930801350307,58.88301633752347,104.78753004202092
six_workloads,workload,workload,Algorand,FIFA,tps_positive_commit,sample_std_pct,mean,10,10,136,11,17,65.29935116027599,55.127041783549004,71.26448419638487
six_workloads,workload,workload,Algorand,FIFA,tps_positive_commit,sample_std_pct,median,10,10,136,11,17,59.96147270747489,50.71329708573507,69.98081027923516
six_workloads,workload,workload,Algorand,GAFAM,tps_positive_commit,iqr_pct,mean,10,10,131,13,14,32.74761538149979,22.810722555115824,48.83918421737871
six_workloads,workload,workload,Algorand,GAFAM,tps_positive_commit,iqr_pct,median,10,10,131,13,14,24.360824442394822,14.637328957396985,46.267436831922865
six_workloads,workload,workload,Algorand,GAFAM,tps_positive_commit,sample_std_pct,mean,10,10,131,13,14,29.427160297989825,23.27304882399102,32.94179522790662
six_workloads,workload,workload,Algorand,GAFAM,tps_positive_commit,sample_std_pct,median,10,10,131,13,14,30.704867400752683,20.282859938318868,33.77543753923291
six_workloads,workload,workload,Algorand,Gaming,tps_positive_commit,iqr_pct,mean,10,10,129,12,13,28.0185003106781,21.085931077153496,43.7685614266519
six_workloads,workload,workload,Algorand,Gaming,tps_positive_commit,iqr_pct,median,10,10,129,12,13,25.223824091451554,15.230447127691962,39.980255232902195
six_workloads,workload,workload,Algorand,Gaming,tps_positive_commit,sample_std_pct,mean,10,10,129,12,13,26.40711592431195,20.88700267480117,29.45189115130283
six_workloads,workload,workload,Algorand,Gaming,tps_positive_commit,sample_std_pct,median,10,10,129,12,13,25.719900684065237,18.77222512536184,28.79993622705243
six_workloads,workload,workload,Algorand,PayPal,tps_positive_commit,iqr_pct,mean,10,10,130,13,13,0.5739651346591907,0.3383127201193072,0.6522212293056822
six_workloads,workload,workload,Algorand,PayPal,tps_positive_commit,iqr_pct,median,10,10,130,13,13,0.4950659025562454,0.23423023503030607,0.5503965317454499
six_workloads,workload,workload,Algorand,PayPal,tps_positive_commit,sample_std_pct,mean,10,10,130,13,13,0.3945565288218549,0.3228067703876647,0.4161898968884417
six_workloads,workload,workload,Algorand,PayPal,tps_positive_commit,sample_std_pct,median,10,10,130,13,13,0.37090658240587726,0.26777648570965246,0.42459970399992886
six_workloads,workload,workload,Algorand,VISA,tps_positive_commit,iqr_pct,mean,10,10,130,13,13,9.267335724008467,6.4562089322688685,11.523428817349197
six_workloads,workload,workload,Algorand,VISA,tps_positive_commit,iqr_pct,median,10,10,130,13,13,7.660789328091352,3.8201311504894964,10.799754497571664
