blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,30.591797538877252,5.563717684209043,47.598721031238526
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,62.761408691596074,19.694397283531416,81.60650760614179
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,33.88420616281984,21.263718341451728,43.66085300430417
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,11.73928592716219,3.81019839231086,30.97079292749318
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,12.659405808469355,6.752152592787125,16.777524763527666
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,19.543828264758503,8.484155363518234,79.98883467207166
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,31.68845298858262,11.090416619219702,47.842236479298855
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.47112829185793964,0.05236651322813738,0.6275910762367104
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.26381021748215844,0.15663279468415905,0.3077129427024116
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.26133805082019945,0.0,1.200369344413657
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,0.46512977617432605,0.11626439008986823,0.6060780704936541
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,1.873873873873874,0.260547055765883,3.2266001144972667
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,1.3937728798762439,0.9058037006846064,1.659007533514773
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,16.411001874450097,4.041092535357821,20.688528244035005
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,9.7084199803895,6.3879260158634885,11.900225818344868
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,3.5688777787697563,0.8944603387350633,10.274187889138556
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,5.565760616788832,2.6728589484349903,7.686187189124055
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,20,93.22528363047002,29.074986175094086,111.80591254541706
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,20,50.18828390064264,39.728095853443385,56.791322767575366
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,41.75859831278391,9.260154918540627,93.51471052065766
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,42.76389092320044,23.368558197903777,54.506241866841194
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,21,34.923413566739605,22.309249967707053,89.49803165406769
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,21,47.05467681550056,28.126482362631442,55.70444324103561
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,12.275179856115109,0.12733846687678468,32.07409643817576
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,13.239112637399808,3.896801873791041,18.98566383427931
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,19,19.430512574253903,5.335121842874007,27.570322301462053
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,19,20.086240992719883,8.035945350478332,32.4847609013694
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,34.160976619077175,10.739836988785306,93.00234801220041
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,42.52845869396927,22.393574875539347,58.48160581972319
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,25,43.77234515412116,16.165113668155424,57.79140590131626
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,25,26.22865697015422,18.420419482928523,32.29203657716944
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.7676863115625367,0.10241058767922726,1.5873641090278843
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.645499825016639,0.3104477485109022,0.7956467998540939
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,23,2.113402061855667,1.187104101121208,2.7325099190782454
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,23,1.3046801751107988,0.9449817286545074,1.6185403124197386
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,11,9.74054838105932,3.3719125785761723,18.709725419855886
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,11,8.76191205944275,4.44953282281061,12.0678970744292
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,23,77.58051811007239,37.08966423515162,88.82419842672897
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,23,43.22611057237617,33.95493799484105,51.75702627858934
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,38.96053348556007,10.663267555517454,65.19449583136314
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,28.254201529898268,17.99392564894811,36.67354238832001
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,11,12.599569742426898,3.2895126428613803,25.47305768421001
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,11,11.785852611954251,6.277077996839868,16.380996383757
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,55.71011891406776,16.94387464631986,81.14550776227058
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,33.53679064571123,21.22833896084903,41.54208754403866
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,11,19.35047361299052,5.216684460391521,43.17163733904556
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,11,21.73338849156779,10.235226213106005,29.023023617911424
