blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,panel_row,panel_column,matrix_row,matrix_column,display_count
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,0,4,13/0/0
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit,1,1,0,4,23/0/0
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,1,0,0,5,11/0/0
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit,1,1,0,5,23/0/0
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,1,0,13/0/0
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,1,1,1,0,11/0/0
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,1,1,13/0/0
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,1,1,1,1,11/0/0
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,1,3,12/0/0
Diem,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,1,1,3,13/0/0
Diem,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,1,2,13/0/0
Diem,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,1,1,2,12/0/0
Diem,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,1,4,13/0/0
