blockchain,mode,workload,network_size,metric,eligible_observations,eligible_hash_batches,hash_batches_with_at_least_two_eligible_executions,total_sum_of_squares,within_hash_sum_of_squares,between_hash_sum_of_squares,decomposition_identity_error,between_hash_fraction,decomposition_available,strict_sensitivity
Ethereum,scale-free,GAFAM,40 nodes,Latency,13,3,2,365.73183076923067,365.6923599999999,0.03947076923076838,6.369904603786836e-15,0.00010792270704945458,True,True
Ethereum,scale-free,Gaming,10 nodes,Latency,13,3,2,7569.323492307693,7074.075449999999,495.24804230769223,1.8189894035458565e-12,0.06542830978369293,True,True
Ethereum,scale-free,Gaming,40 nodes,Latency,13,3,2,2084.843507692308,1176.8898,907.9537076923081,1.1368683772161603e-13,0.435502091328338,True,True
Ethereum,scale-free,PayPal,10 nodes,Latency,13,3,2,5302.493892307692,1115.43334,4187.060552307687,4.547473508864641e-12,0.789639863306932,True,True
Ethereum,scale-free,PayPal,40 nodes,Latency,13,3,2,463.9192000000003,446.7793000000003,17.13990000000005,9.592326932761353e-14,0.03694587333311499,True,True
Ethereum,scale-free,VISA,10 nodes,Latency,13,3,2,2940.658907692308,1941.3445399999998,999.3143676923087,6.821210263296962e-13,0.3398266847876363,True,True
Ethereum,scale-free,VISA,40 nodes,Latency,13,3,2,686.2279230769233,555.4046900000002,130.82323307692303,5.684341886080802e-14,0.1906410810133389,True,True
Ethereum,torus,DDoS,10 nodes,Latency,14,4,2,9936.820235714285,2987.8936900000003,6948.926545714287,2.7284841053187847e-12,0.6993108842543915,True,True
Ethereum,torus,DDoS,40 nodes,Latency,13,3,2,150.76843076923078,94.16609000000001,56.60234076923091,1.4921397450962104e-13,0.3754256808301441,True,True
Ethereum,torus,FIFA,10 nodes,Latency,16,5,3,510.94339375000004,377.18388999999996,133.75950375000002,5.684341886080802e-14,0.2617892811340415,True,True
Ethereum,torus,FIFA,40 nodes,Latency,13,3,2,418.6924307692308,211.38549000000003,207.30694076923078,2.842170943040401e-14,0.49512942086954376,True,True
Ethereum,torus,GAFAM,10 nodes,Latency,15,4,3,689.29196,606.7994900000001,82.49247000000001,9.947598300641403e-14,0.11967711040761307,True,True
Ethereum,torus,GAFAM,40 nodes,Latency,13,3,2,438.59947692307685,414.05249999999984,24.546976923077167,1.5631940186722204e-13,0.055966726397583696,True,True
Ethereum,torus,Gaming,10 nodes,Latency,14,4,2,4620.478400000001,3733.3888100000013,887.0895899999999,3.410605131648481e-13,0.191990853154946,True,True
Ethereum,torus,Gaming,40 nodes,Latency,13,3,2,5211.3155230769235,4864.80941,346.50611307692327,3.410605131648481e-13,0.06649110220682536,True,True
Ethereum,torus,PayPal,10 nodes,Latency,15,4,3,3829.6459599999994,1165.7187400000003,2663.9272200000014,2.2737367544323206e-12,0.6956066560262406,True,True
Ethereum,torus,PayPal,40 nodes,Latency,13,3,2,196.83949230769247,196.21189000000018,0.6276023076922859,4.440892098500626e-16,0.00318839629352041,True,True
Ethereum,torus,VISA,10 nodes,Latency,15,4,3,3461.8954933333353,1974.417000000001,1487.478493333337,2.7284841053187847e-12,0.4296716917647613,True,True
Ethereum,torus,VISA,40 nodes,Latency,13,3,2,1553.3697230769224,1035.0611599999988,518.3085630769244,9.094947017729282e-13,0.33366722382759995,True,True
Quorum,fat-tree,GAFAM,10 nodes,Latency,10,4,3,7399.225609999999,2732.515099999999,4666.710509999994,4.547473508864641e-12,0.6307025567233644,True,True
Quorum,fat-tree,GAFAM,40 nodes,Latency,8,5,3,14143.687549999999,7511.383050000001,6632.304499999999,1.8189894035458565e-12,0.46892329009346645,True,True
Quorum,fat-tree,PayPal,10 nodes,Latency,14,4,2,33877.74574999999,829.6790599999999,33048.06668999999,7.275957614183426e-12,0.9755096143018903,True,True
Quorum,fat-tree,PayPal,40 nodes,Latency,13,3,2,0.06709230769230788,0.062410000000000264,0.004682307692307629,1.1275702593849246e-17,0.06978903921118895,True,True
Quorum,fat-tree,VISA,10 nodes,Latency,3,2,1,8088.273266666664,2096.281249999999,5991.992016666664,9.094947017729282e-13,0.740824625864314,True,False
Quorum,fat-tree,VISA,40 nodes,Latency,14,4,2,374.80695,176.83954,197.96741,2.842170943040401e-14,0.5281850029728639,True,True
Quorum,full mesh,GAFAM,10 nodes,Latency,10,3,2,8960.456889999998,7985.725742857139,974.7311471428575,9.094947017729282e-13,0.10878141138435383,True,True
